Class,ColorCode
"Carotenoids (C45, ??-??)",#47a2f7
"Carotenoids (C50, ??-??)",#ec6a19
Caryolane sesquiterpenoids,#3761c5
"Caryolane sesquiterpenoids,Caryophyllane sesquiterpenoids",#f3b83e
Caryophyllane sesquiterpenoids,#5d7be2
"Caryophyllane sesquiterpenoids,Humulane sesquiterpenoids",#c2a220
Cassane diterpenoids,#b07bed
Catechols with side chains,#5b8313
"Catechols with side chains,Monoalkylresorcinols",#a94cb7
Cedrane and Isocedrane sesquiterpenoids,#48993e
Cembrane diterpenoids,#f13f9c
Cephalosporins,#43c88b
"Cephalosporins,Cephamycins",#a32890
Ceramides,#75bc5f
Cericerane sesterterpenoids,#c063ce
Chalcones,#226d13
Chamigrane sesquiterpenoids,#e668c8
Cholane steroids,#98bf51
Cholestane steroids,#521a6d
"Cholestane steroids,Ergostane steroids",#a3dd80
Chromones,#311c66
Cinnamic acid amides,#e6ca56
Cinnamic acids and derivatives,#142a71
"Cinnamic acids and derivatives,Simple amide alkaloids",#f8ef91
"Cinnamic acids and derivatives,Simple phenolic acids",#150e3f
Clavams,#e1d774
Clavulones,#314ca3
Cleistanthane diterpenoids,#ee8d27
Colensane and Clerodane diterpenoids,#0f5eb0
Coloratane sesquiterpenoids,#f73931
Copaane sesquiterpenoids,#4bd8ef
Corynanthe type,#e52638
"Cryptophycins,Depsipeptides",#19b37e
Cubebane sesquiterpenoids,#dc2c7a
Cucurbitane triterpenoids,#81d286
"Cucurbitane triterpenoids,Lanostane, Tirucallane and Euphane triterpenoids",#a82580
Cuparane sesquiterpenoids,#b0f0a5
"Cuparane sesquiterpenoids,Illudalane sesquiterpenoids",#8e328a
Cyathane diterpenoids,#83aa3e
"Cyathane diterpenoids,Daucane sesquiterpenoids",#6257b8
Cyclic peptides,#8f9d25
"Cyclic peptides,Depsipeptides",#c683e6
"Cyclic peptides,Depsipeptides,Lipopeptides",#6f962a
"Cyclic peptides,Depsipeptides,Pyrazine and Piperazine alkaloids",#ec8ded
"Cyclic peptides,Depsipeptides,RiPPs-Thiopeptides",#37630d
"Cyclic peptides,Depsipeptides,Streptogramins",#cd4ba1
"Cyclic peptides,Dipeptides",#66b66c
"Cyclic peptides,Enediynes,Pyridine alkaloids",#e8336a
"Cyclic peptides,Imidazole alkaloids",#7df0d1
"Cyclic peptides,Lipopeptides",#e42749
"Cyclic peptides,Microcystins",#8be8ad
"Cyclic peptides,Open-chain polyketides",#a6186a
"Cyclic peptides,Pyrrolidine alkaloids",#62bd85
"Cyclic peptides,RiPPs-Cyanobactins",#b14ba6
"Cyclic peptides,RiPPs-Lanthipeptides",#baca68
"Cyclic peptides,RiPPs-Lasso peptides",#442c79
"Cyclic peptides,RiPPs-Thiopeptides",#d0af3d
Cyclitols,#2b6abe
Cycloartane triterpenoids,#da721d
"Cycloartane triterpenoids,Lanostane, Tirucallane and Euphane triterpenoids",#248fe1
Cyclobisabolane sesquiterpenoids,#da3c28
