Superclass,ColorCode
Polyprenols,#762745
Proline alkaloids,#abbb8a
"Proline alkaloids,Tryptophan alkaloids",#2f151a
Pseudoalkaloids,#e5cdd5
"Pseudoalkaloids,Cyclic polyketides",#463012
"Pseudoalkaloids,Histidine alkaloids",#c283b7
"Pseudoalkaloids,Meroterpenoids",#4f4b18
"Pseudoalkaloids,Peptide alkaloids",#e68fad
"Pseudoalkaloids,Polycyclic aromatic polyketides",#223944
"Pseudoalkaloids,Sesquiterpenoids",#c6714d
"Pseudoalkaloids,Small peptides",#2b5271
Saccharides,#eb69db
Serine alkaloids,#2cf52b
Sesquiterpenoids,#651cef
"Sesquiterpenoids,Diterpenoids",#5f5c6f
"Sesquiterpenoids,Monoterpenoids",#5b28d7
Sesterterpenoids,#84f136
Small peptides,#68709a
Sphingolipids,#4b344b
"Sphingolipids,Fatty Acids and Conjugates",#ddabaa
Steroids,#2a5c64
"Steroids,Chromanes",#a74f56
Stilbenoids,#4b8494
Styrylpyrones,#78272e
"Styrylpyrones,Ornithine alkaloids",#9fa1be
Terphenyls,#4f3237
"Terphenyls,Diazotetronic acids and derivatives",#94a193
Tetramate alkaloids,#a56050
"Tetramate alkaloids,Peptide alkaloids",#3f6155
"Tetramate alkaloids,Peptide alkaloids,Small peptides",#cd847e
Triterpenoids,#54543b
Tropolones,#b692b9
Tryptophan alkaloids,#704939
"Tryptophan alkaloids,Anthranilic acid alkaloids",#89688e
"Tryptophan alkaloids,Ornithine alkaloids",#867d5c
Tyrosine alkaloids,#a4677a
Unclassified,#000000
Xanthones,#b08b8c
"Xanthones,Meroterpenoids",#848295
"Xanthones,Polycyclic aromatic polyketides",#805d5f
